URL_WEBSITE,,,,,,
URLBASE,,,,,,
ID,Title,Composer or Musician,Composer Dates (If Known),Genre,Humdrum URL,FILEBASE
AH_001,Gosteg Dafydd Athro,Dafydd Dafydd Athro,fl. 1385-1430,Gosteg,,
AH_002,Gosteg yr Halen,Unknown,,Gosteg,,
AH_003,Yr Osteg Fawr_Gosteg Ieuan ap y Gof,Ieuan ap y Gof,fl. c. 1375-1420?,Gosteg,,
AH_004,Gosteg y Llwydteg,Y Llwydteg,c. 1475?,Gosteg,,
AH_005,Clymau Cytgerdd,William Pennlyn?,,Cwlwm Cytgerdd,,
AH_006,Gogwyddor y Prikiad,Unknown,,,,
AH_007,Caniad y Gwyn Bibydd,Unknown,,Caniad,,
AH_008,Caniad Ystafell a'i Gainc,Unknown,,Caniad/Cainc,,
AH_009,Caniad Cadwgan,Cadwgan,,Caniad,,
AH_010,Caniad Bach ar Y Go Gywair,Unknown,,Caniad,,
AH_011,Caniad Cynwrig Bencerdd,Cynwrig Bencerdd,15h century,Caniad,,
AH_012,Caniad Llywelyn ab Ieuan ap y Gof,Llywelyn ab Ieuan ap y Gof,c. 1400-40,Caniad,,
AH_013,Caniad Suwsanna,Unknown,,Caniad,,
AH_014,Pwnc ar ôl Profiad,Unknown,,Pwnc,,
AH_015,Profiad Cyffredin,Unknown,,Profiad,,
AH_016,Y Ddigan y Droell,Unknown,,Erddigan,,
AH_017,Cainc Ruffudd ab Adda ap Dafydd,Gruffudd ab Adda ap Dafydd,fl. 1340-70,Cainc,,
AH_018,Cainc Dafydd Broffwyd,Unknown,,Cainc,,
AH_019,Profiad yr Eos Brido,Y Brido,c. 1420-49,Profiad,,
AH_020,Profiad yr Eos,Siôn Eos?,,Profiad,,
AH_021,Profiad Chwith,Ieuan ap y Gof,fl. c. 1375-1420?,Profiad,,
AH_022,Profiad Fforchog,Ieuan ap y Gof,fl. c. 1375-1420?,Profiad,,
AH_023,Profiad y Botwm,Y Brido,c. 1420-49,Profiad,,
AH_024,Profiad y Brido ar Is Gywair,Y Brido,c. 1420-49,Profiad,,
AH_025,Profiad y Brido ar Uwch Gywair,Y Brido,c. 1420-49,Profiad,,
AH_026,Caniad y Wefl_Caniad yr Efail,Unknown,,Caniad,,
AH_027,Caniad Tro Tant,Unknown,,Caniad,,
AH_028,Caniad San Silin,Unknown,,Caniad,,
AH_029,Caniad marwnad ieuan ap y Gof,Dafydd Athro/Llewelyn ab Ieuan ap y Gof?,,Caniad,,
AH_030,Caniad Crych,Unknown,,Caniad,,
AH_031,Caniad Hun Wenllian,Unknown,,Caniad,,
AH_032,Caniad Pibau Morfydd,Unknown,,Caniad,,
AH_033,Caniad Llywelyn Delynior,Llywelyn Delynior,c. 1400-40,Caniad,,
